Proteins
A0A1L1SVG7
O10G4
OR9G1
Q3KPA8
Q3SXI0
Q5NC45
Q62007
Q7TQV4
Q7TR71
Q7TRA9
Q7TRE4
Q7TRM0
O10G7
Q7TRM9
Q7TRN9
Q7TRR8
Q7TRS7
Q7TRS8
Q7TRX2
Q8NGF7
Q8VEU7
Q8VEX9
Q8VF05
O10H1
Q8VF06
Q8VF24
Q8VF44
Q8VF52
Q8VF68
Q8VFG6
Q8VFY1
Q8VFZ2
Q8VFZ6
Q8VFZ7
O10H2
Q8VG01
Q8VG22
Q8VG28
Q8VG36
Q8VG49
Q8VG77
Q8VG90
Q8VG96
Q8VGC6
Q8VGD5
O10H5
Q8VGD7
Q8VGE3
Q8VGH1
Q8VGJ1
Q8VGJ5
Q8VGL0
Q8VGL7
Q8VGM2
Q8VGN4
Q8VGP6
O10J5
Q8VGQ3
Q8VGR0
Q8VGT4
Q8VGU7
Q8VGV1
Q8VGW6
Q8VGX8
Q8VGY6
Q8VGZ2
Q8VGZ7
O10X1
Q8VH10
Q8VH13
Q8VH18
Q8VH20
Q920P1
Q920P2
Q924X8
Q9EPG5
Q9EQ84
Q9QWU6
O11A1
Q9R0K2
Q9WU86
Q9WU88
Q9WU89
Q9WU92
Q9WU94
Q9WVD7
Q9WVD9
Q9WVN5
Q9WVN6
O11H4
O11H6
A0PK70
O11H7
O13C3
O14A2
O14AG
O14J1
O1509
O2A25
O2AG1
O2AT4
O2T10
A2BHP6
O2T34
O4F17
O51D1
O51E1
O51E2
O51L1
O52B6
O52D1
O56A4
O5AC2
E9PX47
O5AL1
OL151
OL154
OL480
OL508
OL510
OL958
OLF15
OLF19
OLF49
F8VPJ8
OLF50
OLF56
OR1A1
OR1A2
OR1C1
OR1D2
OR1D5
OR1E1
OR1E3
OR1G1
O1019
OR1L3
OR1N1
OR1N2
OR1S2
O2A25
OR2B3
OR2BB
OR2C1
OR2F1
OR2G2
O10A6
OR2J1
OR2J2
OR2J3
OR2M2 
OR2M4
OR2M7
OR2S1
OR2T1
OR2T6
OR2W1
O10AG
OR3A1
OR4A4
OR4CC
OR4D2
OR4L1
OR4N4
OR4Q3
OR4X2
OR5BH
OR5K1
O10G3
OR5P3
OR6F1
OR6P1
OR7C1
OR7D4
OR7G2
OR8B3
OR8D1
OR8K3
OR8U8
